% Project data log with Unity & Haptic device
% Unity Version :2019.4.32f1
% Windows Version : 10.0.19044.0
% Haptic Plugin Version : PluginVersion=0.9, PluginBuild=Sep 24 2018, OpenHapticsVersion=3.50.0
% Generated By : Datalogger.cs 
% 4/14/2024 8:54:16 PM
% 
% Format Description : 
%   CurrTime    PointerPosX    PointerPosY    PointerPosZ    PointerRotX    PointerRotY    PointerRotZ    PointerRotW       ConePosX       ConePosY       ConePosZ        Started   PathFinished         AllEnd       DistTrav
    0.022000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.800000       0.000000       0.000000              0              0              0       0.000000
    0.065000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.800000       0.000000       0.000000              0              0              0       0.000000
    0.067000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.800000       0.000000       0.000000              0              0              0       0.000000
    0.067000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.800000       0.000000       0.000000              0              0              0       0.000000
    0.068000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.800000       0.000000       0.000000              0              0              0       0.000000
    0.113000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.115000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.115000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.115000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.115000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.142000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.169000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.170000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.191000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.214000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.240000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.266000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.268000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.287000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.311000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.336000       0.000000      -6.556317       8.809975       0.936727      -0.278854      -0.061218      -0.202574      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.360000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.361000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.387000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.410000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.434000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.455000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.476000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.476000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.501000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.524000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.547000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.570000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.592000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.592000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.612000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.632000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.655000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.677000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.696000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.716000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.737000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.760000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.780000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.803000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.827000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.827000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.847000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.868000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.893000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.914000       0.000000      -6.556317       8.809975       0.936697      -0.278478      -0.060884      -0.203325      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.939000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.965000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.965000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.992000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.013000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.037000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.038000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.063000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.089000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.120000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.120000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.143000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.169000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
